type,name,res_id,src,value,fuzzy
error,calendar.event,0,    * ,    * ,0
error,calendar.event,0,(No Subject),(Sin Asunto),0
error,calendar.event,0,:,:,0
error,calendar.event,0,Cancelled Event: %s @ %s,Evento Cancelado: %s @ %s,0
error,calendar.event,0,Invitation: %s @ %s,Invitación: %s @ %s,0
error,calendar.event,0,"This event has been canceled.

",Este evento se canceló.,0
error,calendar.event,0,"This event has been changed.

",Este evento cambió.,0
error,calendar.event,0,Updated Invitation: %s @ %s,Invitación actualizada: %s @ %s,0
error,calendar.event,0,When,Cuando,0
error,calendar.event,0,"You have been invited to the following event.

",Usted fue invitado al siguiente evento.,0
error,calendar.event.attendee,0,    * ,    * ,0
error,calendar.event.attendee,0,"%s (%s) changed his/her participation status to: %s

",%s (%s) cambió su estado de participación,0
error,calendar.event.attendee,0,"%s (%s) has accepted this invitation:

",%s (%s) ha aceptado esta invitación:,0
error,calendar.event.attendee,0,"%s (%s) has declined this invitattion:

",%s (%s) rechazó esta invitación:,0
error,calendar.event.attendee,0,%s: %s @ %s,%s: %s @ %s,0
error,calendar.event.attendee,0,(No Subject),(Sin Asunto),0
error,calendar.event.attendee,0,:,:,0
error,calendar.event.attendee,0,When,Cuando,0
field,"calendar.attendee,schedule_agent",0,Schedule Agent,Agente de programación,0
field,"calendar.attendee,schedule_status",0,Schedule Status,Estado de Programación,0
field,"calendar.event,organizer_schedule_agent",0,Schedule Agent,Agente de Programación,0
field,"calendar.event,organizer_schedule_status",0,Schedule Status,Estado de programación,0
field,"res.user,calendar_email_notification_cancel",0,Cancelled invitations,Invitaciones canceladas,0
field,"res.user,calendar_email_notification_new",0,New invitations,Nuevas invitaciones,0
field,"res.user,calendar_email_notification_partstat",0,Invitation Replies,Invitaciones Contestadas,0
field,"res.user,calendar_email_notification_update",0,Changed invitations,Invitaciones Cambiadas,0
selection,"calendar.attendee,schedule_agent",0,,,0
selection,"calendar.attendee,schedule_agent",0,Client,Cliente,0
selection,"calendar.attendee,schedule_agent",0,None,Ninguno,0
selection,"calendar.attendee,schedule_agent",0,Server,Servidor,0
selection,"calendar.attendee,schedule_status",0,,,0
selection,"calendar.attendee,schedule_status",0,1.0,1.0,0
selection,"calendar.attendee,schedule_status",0,1.1,1.1,0
selection,"calendar.attendee,schedule_status",0,1.2,1.2,0
selection,"calendar.attendee,schedule_status",0,3.7,3.7,0
selection,"calendar.attendee,schedule_status",0,3.8,3.8,0
selection,"calendar.attendee,schedule_status",0,5.1,5.1,0
selection,"calendar.attendee,schedule_status",0,5.2,5.2,0
selection,"calendar.attendee,schedule_status",0,5.3,5.3,0
selection,"calendar.event,organizer_schedule_agent",0,,,0
selection,"calendar.event,organizer_schedule_agent",0,Client,Cliente,0
selection,"calendar.event,organizer_schedule_agent",0,None,Ninguna,0
selection,"calendar.event,organizer_schedule_agent",0,Server,Servidor,0
selection,"calendar.event,organizer_schedule_status",0,,,0
selection,"calendar.event,organizer_schedule_status",0,1.0,1.0,0
selection,"calendar.event,organizer_schedule_status",0,1.1,1.1,0
selection,"calendar.event,organizer_schedule_status",0,1.2,1.2,0
selection,"calendar.event,organizer_schedule_status",0,3.7,3.7,0
selection,"calendar.event,organizer_schedule_status",0,3.8,3.8,0
selection,"calendar.event,organizer_schedule_status",0,5.1,5.1,0
selection,"calendar.event,organizer_schedule_status",0,5.2,5.2,0
selection,"calendar.event,organizer_schedule_status",0,5.3,5.3,0
view,res.user,0,Calendar Email Notifications,Notificaciones de Calendario por Email,0
view,res.user,0,Notifications,Notificaciones,0
